#Constant Voltage
VD,0.37
VS,0
#Data
VG,ID
0.0,0.0
0.01,0.0
0.02,0.0
0.03,-7e-06
0.04,0.0
0.05,0.0
0.06,0.0
0.07,0.0
0.08,-7e-06
0.09,0.0
0.1,0.0
0.11,0.0
0.12,0.0
0.13,0.0
0.14,0.0
0.15,0.0
0.16,0.0
0.17,0.0
0.18,0.0
0.19,-7e-06
0.2,6e-06
0.21,0.0
0.22,0.0
0.23,0.0
0.24,0.0
0.25,0.0
0.26,0.0
0.27,0.0
0.28,0.0
0.29,0.0
0.3,0.0
0.31,0.0
0.32,0.0
0.33,0.0
0.34,0.0
0.35,0.0
0.36,0.0
0.37,0.0
0.38,0.0
0.39,6e-06
0.4,0.0
0.41,0.0
0.42,0.0
0.43,0.0
0.44,0.0
0.45,0.0
0.46,0.0
0.47,0.0
0.48,0.0
0.49,0.0
0.5,0.0
0.51,0.0
0.52,0.0
0.53,0.0
0.54,0.0
0.55,0.0
0.56,0.0
0.57,0.0
0.58,6e-06
0.59,1.2e-05
0.6,6e-06
0.61,0.0
0.62,6e-06
0.63,6e-06
0.64,6e-06
0.65,6e-06
0.66,6e-06
0.67,1.2e-05
0.68,1.2e-05
0.69,1.2e-05
0.7,1.2e-05
0.71,1.2e-05
0.72,1.9e-05
0.73,1.9e-05
0.74,2.5e-05
0.75,2.5e-05
0.76,2.5e-05
0.77,3.8e-05
0.78,3.8e-05
0.79,3.8e-05
0.8,3.8e-05
0.81,4.5e-05
0.82,4.5e-05
0.83,5.1e-05
0.84,5.1e-05
0.85,5.8e-05
0.86,5.8e-05
0.87,6.4e-05
0.88,6.4e-05
0.89,7e-05
0.9,7.7e-05
0.91,7.7e-05
0.92,9e-05
0.93,9e-05
0.94,9.6e-05
0.95,0.000103
0.96,0.000109
0.97,0.000109
0.98,0.000115
0.99,0.000122
1.0,0.000128
1.01,0.000135
1.02,0.000141
1.03,0.000141
1.04,0.000148
1.05,0.000154
1.06,0.000154
1.07,0.000167
1.08,0.000173
1.09,0.000173
1.1,0.00018
1.11,0.000186
1.12,0.000193
1.13,0.000193
1.14,0.000199
1.15,0.000212
1.16,0.000212
1.17,0.000218
1.18,0.000225
1.19,0.000231
1.2,0.000244
1.21,0.000238
1.22,0.000244
1.23,0.00025
1.24,0.000257
1.25,0.000257
1.26,0.000263
1.27,0.000263
1.28,0.000283
1.29,0.000276
1.3,0.000283
1.31,0.000289
1.32,0.000289
1.33,0.000295
1.34,0.000302
1.35,0.000308
1.36,0.000308
1.37,0.000315
1.38,0.000315
1.39,0.000328
1.4,0.000328
1.41,0.000328
1.42,0.000334
1.43,0.000334
1.44,0.000347
1.45,0.00034
1.46,0.000347
1.47,0.000347
1.48,0.000347
1.49,0.00036
1.5,0.000353
1.51,0.00036
1.52,0.00036
1.53,0.000366
1.54,0.000366
1.55,0.000373
1.56,0.000373
1.57,0.000373
1.58,0.000379
1.59,0.000379
1.6,0.000379
1.61,0.000385
1.62,0.000385
1.63,0.000385
1.64,0.000385
1.65,0.000392
1.66,0.000392
1.67,0.000398
1.68,0.000398
1.69,0.000405
1.7,0.000398
1.71,0.000405
1.72,0.000405
1.73,0.000405
1.74,0.000405
1.75,0.000411
1.76,0.000405
1.77,0.000411
1.78,0.000411
1.79,0.000411
1.8,0.000411
1.81,0.000424
1.82,0.000411
1.83,0.000424
1.84,0.000418
1.85,0.000418
